,name,country,latitude,longitude,City,MAPE,MAE,MSE
24,kozhikode,india,11.244864920112112,75.78475220067335,kozhikode,3941.279813610683,36.23303762211318,2162.8233022653726
25,kannur,india,11.87289990088196,75.3690580622818,kannur,6631.2610013310805,36.53828313609956,2195.8657093542993
26,puducherry,india,11.939278163768456,79.81319944817864,puducherry,1453.8279485171984,34.5352235625358,1975.7772627293289
27,brahmapur,india,19.312527597682607,84.79439062320442,brahmapur,2096.1457627574146,34.78435091850974,2019.079291446903
28,moradabad,india,28.835978511230923,78.77089376372665,moradabad,1055.8678964506291,33.31271228883032,1883.6305871155466
29,dehradun,india,30.315362075881858,78.03551702594416,dehradun,692.44464942043,31.742155614800367,1777.5408023957536
30,bareilly,india,28.36095951780628,79.43505223950362,bareilly,890.0985411471809,32.556904212180434,1808.5440648017436
31,lahore,pakistan,31.529909011951148,74.32438806269901,lahore,140.40439508405464,21.963327157450625,788.6510337366304
32,faisalabad,pakistan,31.423638253550426,73.09462371964142,faisalabad,510.5415671290566,31.085193215051337,1647.185919141041
33,karachi,pakistan,25.406841982250626,68.35691172952968,karachi,660.8182112859538,31.263046644526764,1689.5093775534497
34,multan,pakistan,30.156714602159727,71.51857683893374,multan,657.0800066017945,32.16953219071306,1747.9498876192665
35,islamabad,pakistan,33.69374455156799,73.0469852993705,islamabad,251.61336229157655,26.579758200711726,1310.11594414791
36,peshwar,pakistan,34.02952733082548,71.53834221254789,peshwar,717.7956158459481,31.939340720037233,1757.0867941259824
37,nagpur,india,21.14758484708879,79.08804110355422,nagpur,414.66641975584145,29.089024725764222,1499.032443794411
38,pune,india,18.52609378406501,73.85985790311098,pune,218.11035843136716,25.39330076424419,1147.2366490667507
39,mumbai,india,19.088248013539776,72.89650279359333,mumbai,134.26695368667757,21.707496213644873,890.6056378578423
40,gunagzhou,china,23.14921603665981,113.27601054639985,gunagzhou,63.337969931505754,15.55630799240834,438.5880030506535
41,hong kong,china,22.31297169635991,114.17500640079646,hong kong,165.60025386246434,30.745958420354015,1365.781711357532
42,shenzhen,china,22.54410837615217,114.05658540693688,shenzhen,66.85203502418955,16.48009670908655,533.8439517744365
43,jiangmen,china,22.579687679950982,113.08187655682607,jiangmen,264.0617681587935,27.601354407270534,1342.4200904186791
44,haikou,china,20.02432254879412,110.319394322115,haikou,310.293511727163,29.02165544923139,1503.9380882447804
45,dali,china,25.59597644936541,100.24522658656628,dali,823.3110169622055,33.4351534652239,1831.9593019561637
46,naning,china,22.816398463520056,108.31693143730656,naning,128.85214698648963,21.99195456780059,888.0337409057721
47,jieyang,china,23.553577874482908,116.37038189211304,jieyang,402.30144235557975,30.090131907674863,1584.1053775873715
48,quanzhou,china,24.835774898200896,118.58983263023956,quanzhou,107.48077143941124,20.125614169493375,748.2515440791368
49,xiamen,china,24.494411651636945,118.1358291362958,xiamen,123.01654082672762,24.5237511755838,966.4343914645245
50,zhanjiang,china,21.25136622493746,110.39230065834,zhanjiang,463.1271004077247,31.095446977490848,1669.0169274687412
51,maoming,china,21.661013911605416,110.91816942184296,maoming,571.8014119239681,33.31416925768195,1753.5052453720257
52,yuzhou,china,22.629950144121352,110.15650761719031,yuzhou,782.3643650454369,32.783138678854876,1827.0220662898055
53,chongqing,china,29.550300217140524,106.5396698316166,chongqing,127.89302339897304,21.61609378764999,801.1730844247157
54,wuhan,china,30.572835192252032,114.28981894281726,wuhan,46.724470776358615,12.730202506240417,327.59072600982046
55,changsha,china,28.18486286513028,113.00015955480924,changsha,78.26047334404532,16.293625858944797,499.1661251866379
56,hangzhou,china,30.26088638683009,120.18575922752672,hangzhou,54.0798214759755,12.814982793803372,306.17615841907246
57,shanghai,china,31.21375310537745,121.4760691041554,shanghai,25.53787079519459,9.690322168210658,163.71935303120824
58,suzhou,china,31.295762750522,120.57296801318388,suzhou,35.70296201348791,10.768428378771114,235.29145550313171
59,wuxi,china,31.538417755270416,120.32266171926754,wuxi,79.80682477970481,17.357555726706593,553.6328570806094
60,changzhou,china,31.78426728479456,119.96048442483772,changzhou,96.92675438218514,19.275370256684056,707.1283143474093
61,zhenjiang,china,32.187574487139614,119.44237681180148,zhenjiang,266.57481489773625,27.807985626342816,1373.9115190600298
62,yangzhou,china,32.39721523887139,119.44393452139794,yangzhou,187.64466238384287,25.183665996479125,1168.4456661454992
63,nantong,china,31.99694300824239,120.8900584469871,nantong,116.17591199955702,21.251160757124854,850.7505069436066
64,jiaxing,china,30.762092274363557,120.74579164938945,jiaxing,231.99225190656617,27.127333004054723,1330.2029206372483
65,huzhou,china,30.87999052871996,120.08746958695808,huzhou,474.4761565294591,30.865577954939052,1643.097230917561
66,hefei,china,31.79726072683968,117.24352112096436,hefei,43.28616818877702,11.884920514442976,282.22975152204504
67,anqing,china,30.53146165012307,117.06802331287616,anqing,664.5667417920157,32.14055136169318,1789.0123731721096
68,ningbo,china,29.87307740245266,121.56241636962348,ningbo,73.06199188758585,16.354544051999824,531.4486519170167
69,nanjing,china,32.03926567909108,118.79195161252215,nanjing,54.21157303872327,13.776565831417907,365.8783728520584
70,dongguan,china,23.013816297233124,113.76626467499254,dongguan,105.59073678745598,20.351070630284443,746.9746471837789
71,foshan,china,23.012498622295126,113.10915596818944,foshan,119.68721211575577,21.324657480406646,824.2039964625932
72,zhaoqing,china,23.052038052488093,112.4806526716648,zhaoqing,662.7006010564724,32.435662571356524,1819.8384340510056
73,macao,china,22.179803504234734,113.55306245804655,macao,278.20948241163416,40.99209405075273,2397.1682667783875
74,zhongshan,china,22.51670431878213,113.3906992279095,zhongshan,241.2846583071981,26.926521802958078,1283.1767928139518
75,huizhou,china,23.090906352514494,114.4195089610655,huizhou,264.42692308101294,27.570168477207975,1378.697078343046
76,beihai,china,21.442348426002276,109.12538129923152,beihai,774.0992523062339,33.08111849696713,1863.1282848763665
77,fangchenggang,china,21.693808409598866,108.36030070165728,fangchenggang,840.3381931588212,33.05999184624026,1899.7519660445844
78,fuzhou,china,26.073028900664664,119.28112371990036,fuzhou,154.51622307309586,22.776527291884207,1072.7821091786323
79,hanoi,vietnam,21.02324385951947,105.83353354274794,hanoi,212.29129604659937,25.99162459686124,1156.7383162977314
80,haiphong,vietnam,20.848299918859325,106.6877929525304,haiphong,464.2980895850896,31.557277912927116,1675.9187947890257
81,ho chi minh city,vietnam,10.823408288829215,106.65468765784078,ho chi minh city,84.68257703644825,18.13935460001169,607.5245053481008
82,da nang,vietnam,16.057730265925464,108.21805872281404,da nang,502.01399879143923,31.87456050962788,1668.3050746035076
83,bangkok,thailand,13.735343250661568,100.52725101355844,bangkok,44.58881919903902,11.913999798696091,275.97718193286363
84,nakhon ratchasima,thailand,14.973745632305576,102.08378288652048,nakhon ratchasima,704.640301117487,32.128972274541944,1771.0122746628585
85,chiang mai,thailand,18.78834282755137,98.98530595749868,chiang mai,469.291919397694,30.742522583582428,1603.649069532961
86,dhaka,bangladesh,23.716224268884545,90.3962464212852,dhaka,476.3215287069383,30.533359338058347,1591.7051626965338
87,chattogram,bangladesh,22.35361674571566,91.80151420721128,chattogram,537.6581552352593,31.52543550688417,1702.7990445429932
88,kolkata,india,22.57472045523631,88.35996562003956,kolkata,91.42994999360687,18.268468608041957,679.4559408936384
89,hyderabad,india,17.39133281579477,78.46365353142471,hyderabad,56.329069521051224,15.073456071257823,353.5134432540247
90,ahmedabad,india,23.023341556793067,72.57767274584019,ahmedabad,174.81336738737886,23.510392121180857,1033.67236785091
91,surat,india,21.193120537636243,72.82916020229592,surat,349.56560700977593,28.46088820357484,1393.268602263314
92,indore,india,22.71509036849498,75.85938422946757,indore,494.4221446610862,28.94647259043271,1578.6457163896987
93,vadodara,india,22.299535025405017,73.19132585254138,vadodara,353.18722138597707,28.407866869341614,1580.9032209569243
94,ludhiana,india,30.90557522976652,75.85414091891913,ludhiana,422.4688717785824,29.94297962154071,1610.855208720928
95,agra,india,27.181349161845077,78.01193958285677,agra,431.1201470184291,29.75211909651954,1559.13770440328
96,vijayapura,india,16.82973937243194,75.71102190496482,vijayapura,1520.6084596366343,34.05491017445914,1953.5090283466623
97,solapur,india,17.662347824611842,75.90648576290062,solapur,956.5498061540031,33.23458940062883,1876.3594138916815
98,visakhapatnam,india,17.68590851725232,83.21731803462062,visakhapatnam,457.81593164647234,32.30951630451959,1716.6126442162167
99,meerut,india,28.987288639808693,77.70706712055734,meerut,554.2041460189413,31.27198995936763,1696.6651680500715
100,rohtak,india,28.89309533523635,76.6072816745801,rohtak,1070.3859416083192,33.74907503586526,1923.4630677398789
101,muzaffarnagar,india,29.470956183730124,77.70543779101895,muzaffarnagar,1368.806518775512,34.019887020442866,1933.4388714248955
102,haldwani,india,29.219556581423983,79.51527472913384,haldwani,2971.6957836866345,35.68238073090438,2105.446393677878
103,gorakhpur,india,26.76576868388261,83.38524066486494,gorakhpur,746.8587530758164,32.51422918204913,1808.2062151991797
104,ranchi,india,23.345084952265385,85.31052739975375,ranchi,650.4652699565008,30.490928854838113,1658.6774623712245
105,bhubaneswar,india,20.28701187826114,85.82283739753619,bhubaneswar,647.8572657325645,32.07354322107873,1756.2007593276885
106,cuttack,india,20.46353129669564,85.88210979598927,cuttack,981.368816555608,33.517744966321025,1882.1183306832334
107,manila,philippines,14.5928,120.9857,manila,150.38046020421783,23.571854728875277,938.6023685131933
108,phuket,thailand,7.88206,98.38241,phuket,654.4754259122737,32.497697975141705,1794.323755197345
109,pattaya city,thailand,12.9178,100.9073,pattaya city,427.7115971574556,29.87381562383402,1554.1664723999966
