,name,country,latitude,longitude,City,M0_MAPE,M1_MAPE,M2_MAPE
65,huzhou,china,30.87999052871996,120.08746958695808,huzhou,47.400112855790276,27.967822816561682,27.534740649607073
66,hefei,china,31.79726072683968,117.24352112096436,hefei,13.638501079922548,20.866028849076418,41.131358606502026
67,anqing,china,30.53146165012307,117.06802331287616,anqing,78.2477900657431,2466.960722342234,962.5690614086548
68,ningbo,china,29.87307740245266,121.56241636962348,ningbo,9.0049805233687,13.407700243499098,28.806904516826236
69,nanjing,china,32.03926567909108,118.79195161252215,nanjing,11.619352175573558,30.205550955478856,43.86200239868055
70,dongguan,china,23.013816297233124,113.76626467499254,dongguan,5.875078007575809,34.68207355227187,57.79790341121984
71,foshan,china,23.012498622295126,113.10915596818944,foshan,7.264042724045743,33.9135635388548,57.120717330471045
72,zhaoqing,china,23.052038052488093,112.4806526716648,zhaoqing,78.98571265003125,137.80741423971998,445.5507834326889
73,macao,china,22.179803504234734,113.55306245804655,macao,7.979445081491389,61.77131365104085,20.079131470072493
74,zhongshan,china,22.51670431878213,113.3906992279095,zhongshan,18.49530128324186,15.085485508140698,41.55021897527474
75,huizhou,china,23.090906352514494,114.4195089610655,huizhou,18.329282398161485,27.847965566914485,36.32819285698783
76,beihai,china,21.442348426002276,109.12538129923152,beihai,96.4627533374396,1347.2813542044057,585.7217160448923
77,fangchenggang,china,21.693808409598866,108.36030070165728,fangchenggang,107.35699315462291,2615.3058060313238,1252.2094667376664
78,fuzhou,china,26.073028900664664,119.28112371990036,fuzhou,8.23969959933356,49.68666090061665,21.194344664239807
79,hanoi,vietnam,21.02324385951947,105.83353354274794,hanoi,16.667156243540546,20.06988552458789,31.644763655721096
80,haiphong,vietnam,20.848299918859325,106.6877929525304,haiphong,48.96400470366991,123.99620308846187,200.21919781061567
81,ho chi minh city,vietnam,10.823408288829215,106.65468765784078,ho chi minh city,7.869116718990685,21.081153468608505,41.47013265554852
82,da nang,vietnam,16.057730265925464,108.21805872281404,da nang,49.96173702270182,697.5500342203962,1245.6217230129291
83,bangkok,thailand,13.735343250661568,100.52725101355844,bangkok,15.780619844429394,38.550869379630434,57.26529900643703
84,nakhon ratchasima,thailand,14.973745632305576,102.08378288652048,nakhon ratchasima,78.56486500389948,516.8717134190962,1796.9319425010162
85,chiang mai,thailand,18.78834282755137,98.98530595749868,chiang mai,50.181496632281124,432.4638581672378,789.1451177270377
86,dhaka,bangladesh,23.716224268884545,90.3962464212852,dhaka,42.35058340361171,56.42093008927213,55.7553520198465
87,chattogram,bangladesh,22.35361674571566,91.80151420721128,chattogram,62.127551906535366,1194.0732231945387,354.823975354572
88,kolkata,india,22.57472045523631,88.35996562003956,kolkata,12.19351791825406,18.536738927940682,41.95132602821297
89,hyderabad,india,17.39133281579477,78.46365353142471,hyderabad,15.847504496577608,22.769107992391536,27.50195103957881
90,ahmedabad,india,23.023341556793067,72.57767274584019,ahmedabad,6.177463680691617,36.72028556267712,14.424268949969777
91,surat,india,21.193120537636243,72.82916020229592,surat,28.28820944312346,39.18741582314849,548.0675757885853
92,indore,india,22.71509036849498,75.85938422946757,indore,42.80822863920343,460.08454644353327,384.4428419369311
93,vadodara,india,22.299535025405017,73.19132585254138,vadodara,28.057679567302838,208.25460897057005,514.983729023444
94,ludhiana,india,30.90557522976652,75.85414091891913,ludhiana,40.158346970200995,253.6431940369168,712.7563254958573
95,agra,india,27.181349161845077,78.01193958285677,agra,38.78785898254175,251.82577016183168,251.80953653312636
96,vijayapura,india,16.82973937243194,75.71102190496482,vijayapura,246.44775457524258,394.41034990693106,231.76652547638034
97,solapur,india,17.662347824611842,75.90648576290062,solapur,119.59748923798604,21865.15181262068,407.94254814476227
98,visakhapatnam,india,17.68590851725232,83.21731803462062,visakhapatnam,40.438602783199784,383.6095499740583,1170.474326186358
99,meerut,india,28.987288639808693,77.70706712055734,meerut,60.16203169128292,120.91240626009157,89.71777680219616
100,rohtak,india,28.89309533523635,76.6072816745801,rohtak,142.713822957988,2558.6430216028516,2296.7332430865413
101,muzaffarnagar,india,29.470956183730124,77.70543779101895,muzaffarnagar,210.77657202806952,995.7075342501313,1651.320699885597
102,haldwani,india,29.219556581423983,79.51527472913384,haldwani,5612.365183472956,1022.6537052565451,1605.2969946843034
103,gorakhpur,india,26.76576868388261,83.38524066486494,gorakhpur,82.58707022517704,277.23641155096044,30857.951696865744
104,ranchi,india,23.345084952265385,85.31052739975375,ranchi,69.09585150486039,3095.187836600591,1033.8778440698836
105,bhubaneswar,india,20.28701187826114,85.82283739753619,bhubaneswar,80.33703180070461,189.66484545416404,72.19857341732734
106,cuttack,india,20.46353129669564,85.88210979598927,cuttack,169.43174663168884,158.65981108761682,91.51714806965953
107,manila,philippines,14.5928,120.9857,manila,4.188781076411816,7.870499884897151,9.921264757588627
108,phuket,thailand,7.88206,98.38241,phuket,75.78349505075842,1263.3390397417832,1294.7706054081314
109,pattaya city,thailand,12.9178,100.9073,pattaya city,42.196630696283556,12.836867847248213,47.9143461105946
110,nonthaburi,thailand,13.86519,100.52686,nonthaburi,13.272071873930123,38.72452106429047,57.4316118175953
111,chaophraya surasak,thailand,13.12382716332449,100.99924132855864,chaophraya surasak,15.632410973838914,14.501856248624321,38.848587316742204
112,hat yai,thailand,7.01011,100.47464,hat yai,83.02129823819159,396.75021544809124,4457.660139009499
113,khon kaen,thailand,16.438838769122594,102.82814683510053,khon kaen,114.04368376178877,2973.8336839262925,375.3472562167713
114,kyaukse,myanmar,21.60714052126881,96.13543497525586,kyaukse,4382.619563169353,386.59982115440624,215.00188570481183
115,mandalay,myanmar,21.93843431365195,96.09075611476808,mandalay,64.16411466973732,2053.47091543678,213.70740159666613
116,pak kret,thailand,13.910893482813412,100.54287299392124,pak kret,8.999827052526593,39.60916905481095,57.13419951365603
117,phnom penh,cambodia,11.567222265546851,104.8726665008166,phnom penh,60.414046136586954,1700.864771801619,350.5806733631925
118,pyin oo lwin,myanmar,22.03536793432924,96.47160755265308,pyin oo lwin,8907.28653715244,283.59919555007065,193.51891278961213
119,yenangyaung,myanmar,20.460743098870505,94.8828428563765,yenangyaung,364.1383135020316,206.87678574533405,168.58801797312046
120,thayetmyo,myanmar,19.32171055213289,95.17694215733724,thayetmyo,409.8884093933336,204.64802891152758,154.6669761594196
121,pyinmana,myanmar,19.740705732761768,96.20579459863062,pyinmana,137.24755895909138,703.1033393191921,200.1221648095361
122,sagaing,myanmar,21.916843269650855,95.96201355084526,sagaing,154.3269674765637,69.14164375244295,328.54715176054316
123,syriam,myanmar,16.75984631651299,96.24787302907556,syriam,83.1683746094652,305.219847142812,103.60092517962043
124,yamethin,myanmar,20.430649742456065,96.13833164014376,yamethin,404.2435385277209,260.04450765240904,163.8513839960865
125,kawthoung,myanmar,9.993340960479452,98.55482050261284,kawthoung,3848.473529355022,291.6325437382972,243.31007162537628
126,minbu,myanmar,20.17217367368693,94.87108980255437,minbu,1998.860462291779,219.0330966822646,170.4861005046634
127,tharyarwady,myanmar,17.651135686881208,95.78408706891946,tharyarwady,306.7487195891742,215.55755117074077,148.47791168054485
128,thongwa,myanmar,16.76550669687527,96.53212287830618,thongwa,361.08127145270527,251.04176179099179,197.30519289413817
