name,country,latitude,longitude
tachilek,myanmar,20.46823822366498,99.90863729943055
maubin,myanmar,16.726999740690403,95.64984782469988
hpa an,myanmar,16.8774873903891,97.6469151684671
kyaikto,myanmar,17.312968679512412,97.01484552735857
kyaikkami,myanmar,16.077690180799554,97.58455750638616
bhamo,myanmar,24.258284510801676,97.22454000618515
twante,myanmar,16.712698414392662,95.93800304782471	
myawadi,myanmar,16.68579364298845,98.5010145352739
mawlaik,myanmar,23.648504059044612,94.40359321794705	
wakema,myanmar,16.60561695130559,95.17350919710461	
myanaung,myanmar,18.261745159767035,95.3242056700436
pyu,myanmar,18.48384012600994,96.43734434768542
kayan,myanmar,16.902866008954724,96.56330088992068
nyaungdon,myanmar,17.04420858710375,95.64218748650653
kathmandu,nepal,27.71355522445278,85.32521223902043
naha,japan,26.212532655540876,127.68091651675816
okinawa,japan,26.35054854210086,127.80811058369869
fukuoka,japan,33.592037872232936,130.40345489583834
kitakyushu,japan,33.87222192829876,130.87109189080667
kumamoto,japan,32.80429273342453,130.71487758407625
nagasaki,japan,32.75027630983996,129.87711945888123
sasebo,japan,33.17407748298014,129.71862889618114
miyazaki,japan,31.90881556894441,131.42509540910567
kagoshima,japan,31.598112839693492,130.54174986512336
miyakonojo,japan,31.72713549713111,131.06354413023527
kirishima,japan,31.746913008185338,130.75761210986138
aira,japan,31.728383716887947,130.62706545220945
oita,japan,33.23609947681877,131.60938046194832
kurume,japan,33.318047229905225,130.50612575338243
saga,japan,33.26232240712147,130.30106020501876
karatsu,japan,33.44935752791501,129.966730232081
shimonoseki,japan,33.96008271088748,130.9407215338533
ube,japan,33.95077651122698,131.24720517892285
matsuyama,japan,33.83993703959538,132.76026096171833
kochi,japan,33.55323957340137,133.53232409046709
matsue,japan,35.468583517019574,133.0620504226125
jeju,'korea, rep.',33.499289351034506,126.53634598681103
gwangju,'korea, rep.',35.153993795458724,126.81962494643608
busan,'korea, rep.',35.162281027721015,129.04653617624405
mokpo,'korea, rep.',34.79884342644781,126.39527577466886
daegu,'korea, rep.',35.84352092844603,128.57272213973167
qingdao,china,36.114393596814686,120.39705895859016
yantai,china,37.46059735242684,121.44093313612385
weihai,china,37.50761395858268,122.09589168247702
weifang,china,36.69848184128038,119.14143797506438
dongying,china,37.45124338581926,118.66652077555123
tianjin,china,39.09479235015274,117.19562864368515
beijing,china,39.901461271264736,116.37810581730358
baoding,china,38.87132439643395,115.46608601302115
shijiazhuang,china,38.04148723799633,114.51890311296408
seoul,'korea, rep.',37.55947833647144,126.98315459889173
anyang,'korea, rep.',37.40299931362886,126.92725167679806
seongnam,'korea, rep.',37.396479936503624,127.1140699627591
incheon,'korea, rep.',37.45151978191745,126.70411717541705
guri,'korea, rep.',37.598992044367456,127.1330205068175
cheongju,'korea, rep.',36.62708856788915,127.49304690800477
xian,china,34.244598118071956,108.94544277292736
zhengzhou,china,34.78036788502003,113.61694325525414
